"堆叠1组计数器","m","rw",0,0,16,0," "
"堆叠2组计数器","m","rw",1,0,16,0," "
"堆叠3组计数器","m","rw",2,0,16,0," "
"堆叠4组计数器","m","rw",3,0,16,0," "
"输送带计数器","m","rw",4,0,16,0," "
"待机姿势","m","rw",5,0,16,0," "
"试产模数","m","rw",6,0,16,0,"a"
"取样模数","m","rw",7,0,16,0,"a"
"夹1检测方向","m","rw",8,0,16,0," "
"夹2检测方向","m","rw",9,0,16,0," "
"夹3检测方向","m","rw",10,0,16,0," "
"夹4检测方向","m","rw",11,0,16,0," "
"夹5检测方向","m","rw",12,0,16,0," "
"夹6检测方向","m","rw",13,0,16,0," "
"夹7检测方向","m","rw",14,0,16,0," "
"再循环时间","m","rw",15,0,16,1,"s"
"设定产量","m","rw",16,0,16,0,"a"
"堆叠1组顺序","m","rw",17,0,4,0," "
"堆叠1组X方向","m","rw",17,5,1,0," "
"堆叠1组Y方向","m","rw",17,6,1,0," "
"堆叠1组Z方向","m","rw",17,7,1,0," "
"堆叠1组副臂堆叠","m","rw",17,15,1,0," "
"堆叠1组X个数","m","rw",18,0,15,1,"a"
"堆叠1组X精度","m","rw",18,15,1,0," "
"堆叠1组Y个数","m","rw",19,0,15,1,"a"
"堆叠1组Y精度","m","rw",19,15,1,0," "
"堆叠1组Z个数","m","rw",20,0,15,1,"a"
"堆叠1组Z精度","m","rw",20,15,1,0," "
"堆叠1组X间距","m","rw",21,0,16,1,"mm"
"堆叠1组Y间距","m","rw",22,0,16,1,"mm"
"堆叠1组间距","m","rw",23,0,16,1,"mm"
"堆叠1预留1","m","rw",24,0,16,0," "
"堆叠1预留2","m","rw",25,0,16,0," "
"堆叠1预留3","m","rw",26,0,16,0," "
"堆叠2组顺序","m","rw",27,0,4,0," "
"堆叠2组X方向","m","rw",27,5,1,0," "
"堆叠2组Y方向","m","rw",27,6,1,0," "
"堆叠2组Z方向","m","rw",27,7,1,0," "
"堆叠2组副臂堆叠","m","rw",27,15,1,0," "
"堆叠2组X个数","m","rw",28,0,15,1,"a"
"堆叠2组X精度","m","rw",28,15,1,0," "
"堆叠2组Y个数","m","rw",29,0,15,1,"a"
"堆叠2组Y精度","m","rw",29,15,1,0," "
"堆叠2组Z个数","m","rw",30,0,15,1,"a"
"堆叠2组Z精度","m","rw",30,15,1,0," "
"堆叠2组X间距","m","rw",31,0,16,1,"mm"
"堆叠2组Y间距","m","rw",32,0,16,1,"mm"
"堆叠2组Z间距","m","rw",33,0,16,1,"mm"
"堆叠2预留1","m","rw",34,0,16,0," "
"堆叠2预留2","m","rw",35,0,16,0," "
"堆叠2预留3","m","rw",36,0,16,0," "
"堆叠3组顺序","m","rw",37,0,4,0," "
"堆叠3组X方向","m","rw",37,5,1,0," "
"堆叠3组Y方向","m","rw",37,6,1,0," "
"堆叠3组Z方向","m","rw",37,7,1,0," "
"堆叠3组副臂堆叠","m","rw",37,15,1,0," "
"堆叠3组X个数","m","rw",38,0,15,1,"a"
"堆叠3组X精度","m","rw",38,15,1,0," "
"堆叠3组Y个数","m","rw",39,0,15,1,"a"
"堆叠3组Y精度","m","rw",39,15,1,0," "
"堆叠3组Z个数","m","rw",40,0,15,1,"a"
"堆叠3组Z精度","m","rw",40,15,1,0," "
"堆叠3组X间距","m","rw",41,0,16,1,"mm"
"堆叠3组Y间距","m","rw",42,0,16,1,"mm"
"堆叠3组Z间距","m","rw",43,0,16,1,"mm"
"堆叠3预留1","m","rw",44,0,16,0," "
"堆叠3预留2","m","rw",45,0,16,0," "
"堆叠3预留3","m","rw",46,0,16,0," "
"堆叠4组顺序","m","rw",47,0,4,0," "
"堆叠4组X方向","m","rw",47,5,1,0," "
"堆叠4组Y方向","m","rw",47,6,1,0," "
"堆叠4组Z方向","m","rw",47,7,1,0," "
"堆叠4组副臂堆叠","m","rw",47,15,1,0," "
"堆叠4组X个数","m","rw",48,0,15,1,"a"
"堆叠4组X精度","m","rw",48,15,1,0," "
"堆叠4组Y个数","m","rw",49,0,15,1,"a"
"堆叠4组Y精度","m","rw",49,15,1,0," "
"堆叠4组Z个数","m","rw",50,0,15,1,"a"
"堆叠4组Z精度","m","rw",50,15,1,0," "
"堆叠4组X间距","m","rw",51,0,16,1,"mm"
"堆叠4组Y间距","m","rw",52,0,16,1,"mm"
"堆叠4组Z间距","m","rw",53,0,16,1,"mm"
"堆叠4预留1","m","rw",54,0,16,0," "
"堆叠4预留2","m","rw",55,0,16,0," "
"堆叠4预留3","m","rw",56,0,16,0," "
