s_rw_0_32_3_100,电机1臂长/半径,0,,
s_rw_0_16_0_101,电机1每转脉冲数,0,,
s_rw_16_16_2_101,电机1减速比,0,,
s_rw_0_16_0_102,电机1正向软极限,0,,
s_rw_16_16_0_102,电机1负向软极限,0,,
s_rw_0_4_0_103,电机1编码器类型,0,,
s_rw_4_4_0_103,电机1厂家,0,,
s_rw_8_4_0_103,电机1绝对值读取方式,0,,
s_rw_12_6_0_103,电机1归原点速度设定,0,,
s_rw_18_1_0_103,电机1电机方向设定,0,,
s_rw_19_6_0_103,电机1S加速1,0,,
s_rw_25_6_0_103,电机1S加速2,0,,
s_rw_31_1_0_103,电机1预留,0,,
s_rw_0_8_0_104,电机1正向极限输入,0,,
s_rw_8_8_0_104,电机1负向极限输入,0,,
s_rw_16_8_0_104,电机1原点输入,0,,
s_rw_24_4_0_104,电机1轴类型,0,,
s_rw_28_1_0_104,电机1正极限输入方向,0,,
s_rw_29_1_0_104,电机1负极限输入方向,0,,
s_rw_30_1_0_104,电机1原点方向选择,0,,
s_rw_31_1_0_104,电机1不使用伺服,0,,
s_rw_0_6_0_105,电机1S减速1,0,,
s_rw_6_6_0_105,电机1S减速2,0,,
s_rw_12_4_0_105,电机1预留,0,,
s_rw_16_16_1_105,电机1最高转速RPM,0,,
s_rw_0_16_3_106,电机1最小加速时间毫秒,0,,
s_rw_16_16_3_106,电机1二次加速时间比例,0,,
s_rw_0_32_3_107,电机2臂长/半径,0,,
s_rw_0_16_0_108,电机2每转脉冲数,0,,
s_rw_16_16_2_108,电机2减速比,0,,
s_rw_0_16_0_109,电机2正向软极限,0,,
s_rw_16_16_0_109,电机2负向软极限,0,,
s_rw_0_4_0_110,电机2编码器类型,0,,
s_rw_4_4_0_110,电机2厂家,0,,
s_rw_8_4_0_110,电机2绝对值读取方式,0,,
s_rw_12_6_0_110,电机2归原点速度设定,0,,
s_rw_18_1_0_110,电机2电机方向设定,0,,
s_rw_19_6_0_110,电机2S加速1,0,,
s_rw_25_6_0_110,电机2S加速2,0,,
s_rw_31_1_0_110,电机2预留,0,,
s_rw_0_8_0_111,电机2正向极限输入,0,,
s_rw_8_8_0_111,电机2负向极限输入,0,,
s_rw_16_8_0_111,电机2原点输入,0,,
s_rw_24_4_0_111,电机2轴类型,0,,
s_rw_28_1_0_111,电机2正极限输入方向,0,,
s_rw_29_1_0_111,电机2负极限输入方向,0,,
s_rw_30_1_0_111,电机2原点方向选择,0,,
s_rw_31_1_0_111,电机2不使用伺服,0,,
s_rw_0_6_0_112,电机2S减速1,0,,
s_rw_6_6_0_112,电机2S减速2,0,,
s_rw_12_4_0_112,电机2预留,0,,
s_rw_16_16_1_112,电机2最高转速RPM,0,,
s_rw_0_16_3_113,电机2最小加速时间毫秒,0,,
s_rw_16_16_3_113,电机2二次加速时间比例,0,,
s_rw_0_32_3_114,电机3臂长/半径,0,,
s_rw_0_16_0_115,电机3每转脉冲数,0,,
s_rw_16_16_2_115,电机3减速比,0,,
s_rw_0_16_0_116,电机3正向软极限,0,,
s_rw_16_16_0_116,电机3负向软极限,0,,
s_rw_0_4_0_117,电机3编码器类型,0,,
s_rw_4_4_0_117,电机3厂家,0,,
s_rw_8_4_0_117,电机3绝对值读取方式,0,,
s_rw_12_6_0_117,电机3归原点速度设定,0,,
